run_id	element	real_log10_conductivity	gen_log10_conductivity	diff
1773801307603	Sc	-1.5380818756245362	-1.307631071459638	0.23045080416489827
1773802681046	Sc	-1.5380818756245362	-1.3076302955239836	0.23045158010055267
1773801307603	Pr	-2.3613596756936754	-2.7385810387393557	-0.3772213630456802
1773802681046	Pr	-2.3613596756936754	-2.7385810387393565	-0.3772213630456811
1773801307603	Ce	-1.5146850788779511	-2.120411998112104	-0.6057269192341528
1773802681046	Ce	-1.5146850788779511	-2.1204119981121035	-0.6057269192341523
1773801307603	Dy	-1.765199448861762	-2.2372959542474313	-0.4720965053856694
1773802681046	Dy	-1.765199448861762	-2.2372959542474318	-0.47209650538566983
1773801307603	Bi	-1.4871625962862163	-2.6388196607250856	-1.1516570644388693
1773802681046	Bi	-1.4871625962862163	-2.6388196607250856	-1.1516570644388693
1773801307603	Y	-1.8322113498144275	-1.9924186339905514	-0.16020728417612395
1773802681046	Y	-1.8322113498144275	-1.9924184861380403	-0.16020713632361283
1773801307603	Lu	-0.8598936970468796	-1.4305306998946508	-0.5706370028477712
1773802681046	Lu	-0.8598936970468796	-1.4305306998946512	-0.5706370028477716
1773801307603	Yb	-2.5684238076899235	-1.7316987109753488	0.8367250967145747
1773802681046	Yb	-2.5684238076899235	-1.7316987109753492	0.8367250967145743
1773801307603	Ca	-2.236208952559957	-2.4090815954571907	-0.17287264289723359
1773802681046	Ca	-2.236208952559957	-2.4090815954571907	-0.17287264289723359
